what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1333990977400
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1333990977400
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1333990980932
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1333990982328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333990983780
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333990985367
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1333990985853
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1333990985854
closed,editor,org.eclipse.jpt.jpa.ui,3.0.0.v201105170000,"org.eclipse.jpt.jpa.ui.internal.editors.PersistenceEditor",1333990986011
closed,editor,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor.MavenPomEditor",1333990986390
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1333990986452
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1333990986542
closed,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1333990987152
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.closeProject",1333990989925
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333990990199
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333990991156
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333990993964
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1333990996232
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1333990996807
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1333990997231
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333990998741
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1333990998810
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1333990998810
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333991001172
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333991172293
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333991175282
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.100.v20110519,"org.eclipse.equinox.p2.artifact.repository",1333991221456
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110510,"org.eclipse.equinox.p2.extensionlocation",1333991223797
started,bundle,org.eclipse.equinox.p2.director,2.1.0.v20110504-1715,"org.eclipse.equinox.p2.director",1333991241398
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.300.v20110510,"org.eclipse.equinox.p2.updatesite",1333991269788
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110511,"org.eclipse.equinox.p2.publisher",1333991269811
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.0.v20110511,"org.eclipse.equinox.p2.touchpoint.eclipse",1333991298589
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110502-1955,"org.eclipse.equinox.frameworkadmin",1333991373323
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110502-1955,"org.eclipse.equinox.simpleconfigurator.manipulator",1333991373424
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333991376689
error,log,,,"Widget is disposed",1333991376709
error,log,,,"Unhandled event loop exception",1333991376710
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1333991376723
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1333991376723
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333991377039
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333991384178
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333991418147
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333991450488
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.closeProject",1333991465710
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333991465982
